"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"hsa05340","hsa05340","Primary immunodeficiency",36,0.607252924940071,1.91128406010749,0.00210526315789474,0.00432962909510752,0.00109380103455348,7907,"tags=35%, list=19%, signal=29%","TAP1/TAP2/TAP2/ORAI1/UNG/IL2RG/DCLRE1C/LCK/TAP2/CD8B/RFXANK/JAK3/RFX5/CD3D/CD79A/IL7R/CD79A/RFX5/RFXAP/DCLRE1C/ICOS/CD19/CD8A/CIITA"
"hsa00330","hsa00330","Arginine and proline metabolism",45,0.551821374252172,1.83904909304559,0.00210970464135021,0.00432962909510752,0.00109380103455348,9755,"tags=32%, list=23%, signal=25%","ODC1/ARG2/SRM/SMOX/AMD1/AMD1/GOT1/PYCR1/CKB/P4HA2/ALDH1B1/ALDH7A1/ALDH1B1/SAT1/ARG2/ALDH7A1/ALDH18A1/ALDH18A1/L3HYPDH/AOC1/SAT2/SAT1/AGMAT/NOS2/NOS3/SMOX/CKM/PYCR3"
"hsa00240","hsa00240","Pyrimidine metabolism",51,0.568831335527625,1.94814396381488,0.00211416490486258,0.00432962909510752,0.00109380103455348,5288,"tags=21%, list=13%, signal=19%","TYMS/CTPS1/TYMS/RRM2/TK1/DUT/TYMP/CAD/TK1/UPP1/PNP/TYMP/RRM2/NT5C3A/RRM1/UCKL1/UMPS/TK2/ENTPD6/CMPK1/DTYMK/NT5C2/CMPK2"
"hsa00270","hsa00270","Cysteine and methionine metabolism",48,0.638403070652986,2.14877082001064,0.00212765957446809,0.00432962909510752,0.00109380103455348,6165,"tags=29%, list=15%, signal=24%","PSAT1/PHGDH/CBS/LDHB/CBS/LDHB/SRM/AMD1/AMD1/DNMT1/MPST/MTAP/MDH2/GOT1/MTAP/ADI1/PSAT1/ADI1/BCAT1/MAT1A/DNMT3A/ADI1/IL4I1/GCLM/AHCY/DNMT3A"
"hsa03460","hsa03460","Fanconi anemia pathway",48,0.581017627929138,1.95561986180446,0.00212765957446809,0.00432962909510752,0.00109380103455348,6855,"tags=32%, list=16%, signal=27%","FANCA/FANCA/FANCI/BLM/USP1/UBE2T/FANCI/FANCC/POLH/FANCE/RPA4/FANCA/RAD51/RMI2/FAAP100/POLH/ERCC1/RPA1/MUS81/FANCB/POLH/FAAP24/FANCB/USP1/POLH/FAAP100/TELO2/TELO2/BRIP1/BRCA2/FANCM/EME1/RPA1/TOP3B/RMI1"
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes",70,0.633835472753387,2.27975256309323,0.00217864923747277,0.00432962909510752,0.00109380103455348,10110,"tags=47%, list=24%, signal=35%","RAN/REXO2/POP1/GTPBP4/CSNK2B/UTP4/HEATR1/UTP4/EMG1/RPP38/TCOF1/HEATR1/NOL6/POP7/RPP25/GNL2/PWP2/GTPBP4/PWP2/RPP25/FBL/RPP40/RIOK1/MDN1/RRP7A/REXO2/HEATR1/NAT10/EIF6/RRP7A/GNL3L/CSNK2A2/IMP4/LSG1/GNL3L/SNU13/XRN1/RBM28/UTP14A/UTP6/RPP30/BMS1/WDR43/MPHOSPH10/RCL1/CSNK2A1/NXT1/CSNK2A2/HEATR1/REXO1/GNL3L/NOP58/NHP2/TBL3/WDR3/NOB1/REXO1/TCOF1/LSG1/MDN1/NXF1/RCL1"
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection",70,0.544694279088401,1.95913329599517,0.00217864923747277,0.00432962909510752,0.00109380103455348,6448,"tags=21%, list=15%, signal=18%","EGFR/CXCL1/ATP6V1C2/EGFR/LYN/LYN/PTPRZ1/CCL5/MAPK14/F11R/EGFR/MET/NFKBIA/RELA/CCL5/LYN/RAC1/ATP6V0A2/MET/MAPK13/RAC1/CXCL8/ATP6V1B1/CXCL3/PTPN11/CSK/ADAM17/ATP6V0A2/ATP6V1C2/ATP6V1F/ATP6V1E2/MAPK12/TCIRG1/MAPK13/CCL5/NFKBIA/MET/MAPK8"
"hsa05133","hsa05133","Pertussis",70,0.48384012973756,1.74025567093139,0.00217864923747277,0.00432962909510752,0.00109380103455348,8667,"tags=24%, list=21%, signal=19%","CXCL5/CALML5/CALML4/CFL1/MAPK14/RELA/IRAK1/MAPK1/MAPK13/MAPK1/ITGA5/CXCL8/MYD88/ITGB2/IRF3/C1R/GNAI2/C1S/CFL1/MAPK12/CALML4/C1QA/MAPK13/SERPING1/MAPK8/TNF/MAPK1/ITGB2/RELA/C1S/IL1A/MAPK14/MAPK1/NOS2/C1QB/IRF1"
"hsa05140","hsa05140","Leishmaniasis",70,0.490141017066558,1.76291843541134,0.00217864923747277,0.00432962909510752,0.00109380103455348,10708,"tags=32%, list=26%, signal=24%","HLA-DOB/ELK1/MAPK14/PTGS2/NFKBIA/RELA/TGFB2/TLR2/IFNG/STAT1/MARCKSL1/IRAK1/STAT1/ELK1/MAPK1/MAPK13/MAPK1/NFKBIB/MYD88/CYBA/CYBB/ITGB2/MAP3K7/NCF4/IFNGR1/HLA-DQB1/MAPK12/STAT1/MAPK13/STAT1/TGFB2/NFKBIA/STAT1/HLA-DQB1/TNF/MAPK1/ITGB2/HLA-DQA1/RELA/FCGR2C/JAK2/IL1A/MAP3K7/MAPK14/MAPK1/NOS2/TGFB2/MAPK14/PTGS2/MAP3K7/CYBA/HLA-DMA/NFKBIB/JAK1/IL12B/HLA-DQB1/CR1L/ITGAM"
"hsa04137","hsa04137","Mitophagy - animal",61,0.559876192234021,1.97073931202875,0.00219298245614035,0.00432962909510752,0.00109380103455348,7020,"tags=22%, list=17%, signal=18%","RRAS2/E2F1/ATG9A/RRAS2/MRAS/ATG5/CSNK2B/OPTN/RELA/E2F1/RAB7B/TFEB/TP53/ATG5/SQSTM1/MFN1/MRAS/TP53/ATG9B/NRAS/CSNK2A2/PGAM5/BNIP3/ATF4/FOXO3/BCL2L13/RRAS2/MFN2/HRAS/FOXO3/ULK1/MAPK8/CSNK2A1/ATG9B/TFEB/CSNK2A2"
"hsa04664","hsa04664","Fc epsilon RI signaling pathway",63,0.543113556417487,1.91398738666608,0.00219298245614035,0.00432962909510752,0.00109380103455348,9657,"tags=28%, list=23%, signal=21%","LYN/LYN/MAPK14/PLA2G4A/PRKCA/PIK3CD/LYN/MAP2K2/MAPK1/AKT3/RAC1/MAPK13/FYN/MAPK1/SOS1/RAC1/MAP2K6/NRAS/FYN/RAF1/CSF2/AKT2/PDPK1/MAPK12/HRAS/MAPK13/ALOX5/AKT2/MAPK8/SOS1/SOS1/PIK3CA/TNF/MAPK1/SYK/FCER1G/PLCG2/MAPK14/MAPK1/MAP2K7/AKT2/MAP2K7/IL13/MAP2K4/PRKCA/AKT2/PIK3R2/SYK/MAPK14"
"hsa04929","hsa04929","GnRH secretion",63,0.508241965848078,1.79109635639408,0.00219298245614035,0.00432962909510752,0.00109380103455348,3828,"tags=11%, list=9%, signal=10%","CACNA1C/ITPR2/PIK3CA/ARRB1/GNAQ/KCNJ3/KCNJ5/PIK3R1/PIK3R1/CACNA1D/GNAQ/ARRB1/CGA/ITPR1/KISS1R/ITPR1/CACNA1D/CACNA1D/ITPR1/KCNJ3"
"hsa04115","hsa04115","p53 signaling pathway",71,0.643999418969184,2.32120943592032,0.00220264317180617,0.00432962909510752,0.00109380103455348,2782,"tags=19%, list=7%, signal=17%","SERPINB5/CDKN2A/CDK6/CDKN2A/GTSE1/CCNB2/CCNE1/RRM2/CCNB1/CHEK1/CDK1/GTSE1/GTSE1/CDK2/CHEK2/CCNE2/CHEK1/CDK6/PERP/SESN3/CDK1/CDK4/CCNB1/CDK6/GTSE1/CDK1/SFN/SFN/SFN/PMAIP1/TP53I3/RRM2/TP53/SIVA1/PERP/CHEK1/RPRM/CD82/CDK2/EI24"
"hsa04724","hsa04724","Glutamatergic synapse",110,0.470523725699017,1.82068936620831,0.00220264317180617,0.00432962909510752,0.00109380103455348,5296,"tags=15%, list=13%, signal=13%","GRIA1/CACNA1C/GNAQ/PRKACB/GNG12/PRKACB/ITPR1/SLC17A7/ADCY9/SHANK2/GRIN2D/PLA2G4C/TRPC1/GRIA2/GNG2/CACNA1C/ITPR2/PPP3CB/SLC17A6/PPP3CA/PPP3CB/GNAQ/GNG11/PRKACB/GNG11/SLC1A2/GNAI3/SLC17A7/HOMER2/SHANK2/KCNJ3/GLUL/SLC38A1/GRK3/CACNA1D/GNAQ/SLC38A1/ADCY1/ITPR1/SLC1A1/ITPR1/SLC1A2/CACNA1D/CACNA1D/ITPR1/GRIK3/KCNJ3"
"hsa04730","hsa04730","Long-term depression",57,0.576690322004885,1.99851582731912,0.0022075055187638,0.00432962909510752,0.00109380103455348,6539,"tags=20%, list=16%, signal=17%","IGF1/PRKCB/GNA12/GUCY1A2/IGF1R/PLCB1/PRKG1/PPP2CA/PPP2CB/BRAF/GRIA1/GNAQ/GNA13/ITPR1/PLA2G4C/GRIA2/ITPR2/GUCY1A2/PPP2CA/GNAQ/GNAI3/IGF1/GUCY1A2/PRKG1/GUCY1A2/GNAQ/IGF1R/ITPR1/ITPR1/IGF1/IGF1R/IGF1/ITPR1/GUCY1A2"
"hsa05100","hsa05100","Bacterial invasion of epithelial cells",72,0.654073642659547,2.35877395679699,0.0022075055187638,0.00432962909510752,0.00109380103455348,8222,"tags=27%, list=20%, signal=21%","SHC4/SHC4/ARPC1B/DNM2/WASF1/FN1/CBL/SEPTIN3/MET/RHOG/CLTA/PTK2/PIK3CD/ACTB/CLTA/CLTA/MAD2L2/PTK2/RAC1/MET/WASF2/DNM2/CBL/ITGA5/ACTB/RAC1/ARPC1A/ACTB/CRK/CBL/CLTB/ARPC5L/SEPTIN2/ARPC5L/ARPC5L/ARPC4/ARPC2/CLTB/WASF2/ARPC5/WASL/DNM1/CLTB/SHC3/MET/DOCK1/ARPC5/PIK3CA/SEPTIN9/CTTN/SEPTIN6/BCAR1/ARPC2/ARPC2/CBL/SEPTIN6"
"hsa05218","hsa05218","Melanoma",72,0.593892914138576,2.14174528314621,0.0022075055187638,0.00432962909510752,0.00109380103455348,2566,"tags=12%, list=6%, signal=11%","CDKN2A/CDK6/CDKN2A/EGFR/E2F3/EGFR/E2F1/E2F3/BAK1/CDK6/FGF9/CDK4/EGFR/MET/CDK6/PIK3CD/E2F1/PDGFRA/MAP2K2/MAPK1/AKT3/TP53/MET/MAPK1"
"hsa01524","hsa01524","Platinum drug resistance",69,0.480808691537734,1.71947203155311,0.00221238938053097,0.00432962909510752,0.00109380103455348,7578,"tags=23%, list=18%, signal=19%","CDKN2A/CDKN2A/BIRC5/BIRC5/TOP2A/GSTP1/BIRC5/BAK1/MSH6/TOP2A/MGST1/PIK3CD/POLH/MSH2/PMAIP1/MAPK1/AKT3/TP53/MAPK1/BIRC5/BIRC3/POLH/ERCC1/TP53/POLH/AKT2/BIRC3/POLH/CYCS/PDPK1/BID/GSTA4/FASLG/AKT2/GSTA4/PIK3CA/MAPK1/ATM/APAF1/SLC31A1/CYCS/GSTO1/MSH6"
"hsa04350","hsa04350","TGF-beta signaling pathway",89,0.453779421993622,1.69834400767441,0.00221238938053097,0.00432962909510752,0.00109380103455348,6208,"tags=24%, list=15%, signal=20%","PPP2CA/ZFYVE9/INHBB/PPP2CB/SMAD1/FST/DCN/SMURF2/SMAD5/THSD4/ZFYVE9/BMP4/DCN/BMPR2/THBS1/ZFYVE16/SMAD5/SMAD6/CDKN2B/SP1/SKP1/TGFB3/GREM1/ACVR1C/SMAD4/CREBBP/DCN/SMAD2/THBS1/PPP2CA/GREM1/FMOD/THBS1/SKP1/ACVR1B/SMAD1/SKP1/ZFYVE16/GREM2/SKP1/ACVR1C/RPS6KB1/CREBBP/DCN/SMAD5/BMPR1B/FBN1/CHRD/DCN/DCN/THBS1/BMPR1B/FBN1/DCN/THSD4/ZFYVE16/BMPR1B/THSD4"
"hsa04512","hsa04512","ECM-receptor interaction",85,0.470241825238188,1.74612096197107,0.00221238938053097,0.00432962909510752,0.00109380103455348,5376,"tags=19%, list=13%, signal=17%","ITGB8/COL9A3/ITGB8/ITGB8/COL4A4/ITGA6/CD47/COL4A2/FN1/CD44/ITGB4/LAMC2/COL9A1/CD47/CD44/CD44/LAMB3/ITGA6/CD44/AGRN/THBS3/CD44/CD44/HMMR/COL6A2/ITGA5/SV2A/ITGB8/COL2A1/FRAS1/CD47/SPP1/CD44/COL4A1/COL9A2/ITGA9/COL1A1/CD44/FRAS1/SDC1/COL4A3/HMMR/LAMA1/LAMA3/COL6A1"
"hsa04917","hsa04917","Prolactin signaling pathway",69,0.576790740186282,2.06272383021449,0.00221238938053097,0.00432962909510752,0.00109380103455348,8667,"tags=25%, list=21%, signal=20%","SHC4/ELF5/SHC4/ELF5/MAPK14/RELA/SOCS1/PIK3CD/STAT1/STAT3/MAP2K2/STAT1/MAPK1/AKT3/MAPK13/MAPK1/SOS1/TNFRSF11A/STAT3/TNFRSF11A/NRAS/SOCS3/FOXO3/RAF1/AKT2/MAPK12/GSK3B/HRAS/STAT1/MAPK13/STAT1/FOXO3/SOCS3/STAT1/SHC3/AKT2/SOCS5/MAPK8/SOS1/SOS1/PIK3CA/MAPK1/STAT5B/CYP17A1/RELA/CCND2/JAK2/SOCS3/MAPK14/MAPK1/AKT2/IRF1"
"hsa04970","hsa04970","Salivary secretion",83,0.447561456699731,1.65953955346376,0.00221238938053097,0.00432962909510752,0.00109380103455348,4861,"tags=16%, list=12%, signal=14%","CST3/GNAQ/PRKACB/PRKACB/ATP1B1/ITPR1/FXYD2/ADCY9/ADRB1/ATP2B1/ITPR2/BST1/GUCY1A2/GNAQ/ATP1A4/PRKACB/SLC12A2/ADRB2/GUCY1A2/PRKG1/GUCY1A2/GNAQ/CST4/SLC12A2/ADCY1/ITPR1/ITPR1/ATP2B1/ATP1A2/KCNMA1/ITPR1/GUCY1A2"
"hsa05210","hsa05210","Colorectal cancer",85,0.589372577135473,2.18848208754271,0.00221238938053097,0.00432962909510752,0.00109380103455348,7578,"tags=24%, list=18%, signal=20%","EGFR/TCF7L1/BIRC5/BIRC5/TCF7L2/EGFR/MYC/BIRC5/BAK1/TGFA/MSH6/EGFR/RALGDS/PIK3CD/RALGDS/TGFB2/MSH2/MAP2K2/PMAIP1/MAPK1/AKT3/RAC1/TP53/RALA/MAPK1/BIRC5/SOS1/RAC1/TCF7L2/TP53/TCF7L2/NRAS/TCF7/BCL2L11/TCF7L2/TCF7L2/RPS6KB2/RAF1/AKT2/CYCS/AXIN1/GSK3B/HRAS/TGFA/TCF7/TGFB2/BCL2L11/AKT2/MAPK8/SOS1/BCL2L11/BCL2L11/SOS1/BCL2L11/PIK3CA/MAPK1/AXIN2/SMAD4/CYCS/MSH6"
"hsa05323","hsa05323","Rheumatoid arthritis",85,0.557336502664089,2.06952444028235,0.00221238938053097,0.00432962909510752,0.00109380103455348,8040,"tags=26%, list=19%, signal=21%","CXCL1/CXCL5/ATP6V1C2/VEGFA/MMP1/ICAM1/CCL5/HLA-DOB/ICAM1/CCL5/TGFB2/TLR2/IFNG/CTLA4/ATP6V0A2/VEGFA/TNFRSF11A/CXCL8/CCL20/ANGPT1/ITGB2/ATP6V1B1/CXCL3/TNFRSF11A/IL18/CD86/ITGAL/LTB/ATP6V0A2/ATP6V1C2/ATP6V1F/CSF2/ATP6V1E2/HLA-DQB1/TCIRG1/CSF1/CCL2/CCL5/TGFB2/VEGFA/VEGFA/HLA-DQB1/TNF/ITGB2/HLA-DQA1/ACP5/ICAM1/IL15/ATP6V0C/CSF1/IL1A"
"hsa03015","hsa03015","mRNA surveillance pathway",79,0.632390379228824,2.32526476308877,0.00221729490022173,0.00432962909510752,0.00109380103455348,12573,"tags=42%, list=30%, signal=30%","ALYREF/ALYREF/CSTF3/CSTF3/SRRM1/SMG5/PPP2R3A/CPSF6/SMG5/CPSF2/CPSF4/PABPC4L/SMG7/PABPC4/MAGOHB/CPSF7/SSU72/NCBP2/PABPC1/GSPT2/NCBP1/PPP2R5D/SYMPK/UPF3B/PPP2R5B/UPF3A/PPP1CA/RNMT/PPP2R1A/EIF4A3/PPP2R5C/PYM1/PNN/SMG7/PPP2R5D/SMG7/RNPS1/PPP2R1B/NUDT21/MAGOHB/FIP1L1/PPP2R3A/RNMT/NXT1/RBM8A/PABPC1L/PPP2R3A/PNN/UPF1/NUDT21/PPP1CB/ACIN1/SMG6/PPP2R2C/PPP2R5C/MSI2/RNGTT/PPP2R2A/CPSF6/CSTF1/PPP2R2C/PABPN1/HBS1L/UPF2/NXF1/PPP1CB/PPP2R2C/CSTF2/PABPC3/CLP1/PPP2R5B/RBM8A/CLP1/NXF3/RNPS1/NXF5/SSU72/NXF3/CPSF1/PPP2R2A/DAZAP1/RNGTT/CPSF6/RNGTT/UPF1/NUDT21"
"hsa04620","hsa04620","Toll-like receptor signaling pathway",95,0.486763817147932,1.85414062050132,0.00221729490022173,0.00432962909510752,0.00109380103455348,9657,"tags=31%, list=23%, signal=24%","CXCL11/CCL5/CXCL10/MAPK14/NFKBIA/RELA/CCL5/PIK3CD/CXCL11/TLR2/STAT1/IRAK1/MAP2K2/STAT1/MAPK1/AKT3/RAC1/IRF7/MAPK13/MAPK1/RAC1/CXCL8/MYD88/SPP1/IRF3/MAP2K6/CD86/IFNA10/IFNAR2/TRAF3/MAP3K7/TRAF3/AKT2/IFNAR2/CXCL9/MAPK12/STAT1/MAPK13/STAT1/CCL5/NFKBIA/STAT1/TLR6/AKT2/MAPK8/TOLLIP/PIK3CA/TNF/MAPK1/TLR8/RELA/MAP3K7/MAPK14/MAPK1/MAP2K7/IRF5/AKT2/IFNAR2/MAP2K7/TLR9/MAP2K4/AKT2/PIK3R2/IKBKE/CCL4/MAPK14"
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications",99,0.506097510989723,1.92892646573809,0.00221729490022173,0.00432962909510752,0.00109380103455348,9803,"tags=29%, list=23%, signal=23%","VEGFA/COL4A4/COL4A2/FN1/ICAM1/CDK4/MAPK14/ICAM1/RELA/PRKCA/PIK3CD/TGFB2/STAT1/STAT3/PIM1/STAT1/MAPK1/AKT3/RAC1/VEGFA/EDN1/PRKCZ/MAPK13/MAPK1/RAC1/CXCL8/EDN1/PLCB3/CYBB/COL4A1/NFATC1/STAT3/NRAS/COL1A1/PLCE1/PLCE1/PLCB4/AKT2/COL4A3/MAPK12/PLCB2/HRAS/STAT1/MAPK13/STAT1/CCL2/TGFB2/VEGFA/STAT1/VEGFA/AKT2/MAPK8/DIAPH1/DIAPH1/PIK3CA/TNF/EDN1/MAPK1/SMAD4/STAT5B/ICAM1/PLCD1/RELA/COL4A3/JAK2/IL1A/PLCG2/PLCB2/MAPK14/MAPK1/AKT2/SMAD2/TGFB2/NOS3/AGER/TGFBR2/PLCB4/PRKCA/AKT2/PIK3R2/COL4A2/COL1A1/MAPK14/AGT/NFATC1"
"hsa05142","hsa05142","Chagas disease (American trypanosomiasis)",99,0.525430549909213,2.00261189122461,0.00221729490022173,0.00432962909510752,0.00109380103455348,9411,"tags=31%, list=22%, signal=25%","GNAS/GNA15/CCL5/CFLAR/MAPK14/NFKBIA/RELA/CCL5/PIK3CD/GNAS/GNAS/TGFB2/TLR2/IFNG/GNAS/IRAK1/MAPK1/AKT3/CALR/CFLAR/MAPK13/MAPK1/GNAS/GNA11/CXCL8/GNAS/MYD88/CFLAR/PLCB3/CALR/GNAS/GNAS/CD3G/GNAS/CFLAR/GNAI2/TNFRSF1A/PLCB4/CD247/PPP2R1A/AKT2/IFNGR1/MAPK12/CD3D/C1QA/PLCB2/FASLG/MAPK13/GNA11/CCL2/CCL5/PPP2R1B/TGFB2/NFKBIA/TLR6/AKT2/MAPK8/CALR/PIK3CA/TNF/GNAO1/MAPK1/CFLAR/RELA/PLCB2/MAPK14/MAPK1/NOS2/C1QB/PPP2R2C/AKT2/ADCY1/SMAD2/TGFB2/GNA11/TLR9/TGFBR2/MAP2K4/PPP2R2A/PLCB4/PPP2R2C/AKT2/PIK3R2"
