"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","3/98","38/6944",0.0160889770876265,0.190051041847588,0.166182197549827,"CBS/PHGDH/PSAT1",3
"hsa05218","hsa05218","Melanoma","4/98","72/6944",0.0184706422477682,0.196087104506268,0.171460180492811,"CDK6/CDKN2A/E2F3/EGFR",4
"hsa05219","hsa05219","Bladder cancer","3/98","41/6944",0.0197243639178425,0.196087104506268,0.171460180492811,"CDKN2A/E2F3/EGFR",3
"hsa05220","hsa05220","Chronic myeloid leukemia","4/98","75/6944",0.0211385570523408,0.196087104506268,0.171460180492811,"CDK6/CDKN2A/E2F3/SHC4",4
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","4/98","75/6944",0.0211385570523408,0.196087104506268,0.171460180492811,"DSC2/ITGB8/TCF7L1/TCF7L2",4
"hsa05212","hsa05212","Pancreatic cancer","4/98","76/6944",0.0220777541279619,0.196087104506268,0.171460180492811,"CDK6/CDKN2A/E2F3/EGFR",4
"hsa04114","hsa04114","Oocyte meiosis","5/98","115/6944",0.0229122800849743,0.196087104506268,0.171460180492811,"BUB1/CALML5/CCNB2/CDC20/PTTG1",5
"hsa04218","hsa04218","Cellular senescence","6/98","158/6944",0.0238624518711332,0.196087104506268,0.171460180492811,"CALML5/CCNB2/CDK6/CDKN2A/E2F3/FOXM1",6
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","7/98","213/6944",0.0304385614447792,0.230855706936334,0.201862133049314,"BUB1B/CCNB2/CDC20/CDKN2A/E2F3/MMP7/PTTG1",7
"hsa05210","hsa05210","Colorectal cancer","4/98","85/6944",0.0316807968133283,0.230855706936334,0.201862133049314,"BIRC5/EGFR/TCF7L1/TCF7L2",4
"hsa00220","hsa00220","Arginine biosynthesis","2/98","20/6944",0.0317579279383316,0.230855706936334,0.201862133049314,"ASS1/GLS",2
"hsa04974","hsa04974","Protein digestion and absorption","4/98","87/6944",0.0341006863219524,0.231394407535358,0.202333177293518,"COL27A1/COL9A3/KCNK5/SLC16A10",4
"hsa04068","hsa04068","FoxO signaling pathway","5/98","128/6944",0.0342806529682011,0.231394407535358,0.202333177293518,"CCNB2/EGFR/FBXO32/HOMER3/SKP2",5
"hsa01522","hsa01522","Endocrine resistance","4/98","94/6944",0.0434010222877938,0.282854938358381,0.24733068962554,"CDKN2A/E2F3/EGFR/SHC4",4
"hsa04916","hsa04916","Melanogenesis","4/98","97/6944",0.0477835591850922,0.284385650116149,0.248669156603928,"CALML5/FZD9/TCF7L1/TCF7L2",4
"hsa05215","hsa05215","Prostate cancer","4/98","97/6944",0.0477835591850922,0.284385650116149,0.248669156603928,"E2F3/EGFR/TCF7L1/TCF7L2",4
"hsa05213","hsa05213","Endometrial cancer","3/98","58/6944",0.0481499513424167,0.284385650116149,0.248669156603928,"EGFR/TCF7L1/TCF7L2",3
"hsa00310","hsa00310","Lysine degradation","3/98","60/6944",0.0523466926621755,0.289101909455846,0.252793092645881,"BBOX1/DOT1L/EZH2",3
"hsa05217","hsa05217","Basal cell carcinoma","3/98","60/6944",0.0523466926621755,0.289101909455846,0.252793092645881,"FZD9/TCF7L1/TCF7L2",3
"hsa04390","hsa04390","Hippo signaling pathway","5/98","145/6944",0.0536880897811381,0.289101909455846,0.252793092645881,"BIRC5/FZD9/TCF7L1/TCF7L2/TEAD2",5
"hsa00601","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","2/98","27/6944",0.0550670303725422,0.289101909455846,0.252793092645881,"B3GNT5/ST8SIA1",2
"hsa04150","hsa04150","mTOR signaling pathway","5/98","148/6944",0.0576625484902685,0.294546531477318,0.257553915020545,"ATP6V1C2/FZD9/RRAGD/SKP2/SLC7A5",5
"hsa01523","hsa01523","Antifolate resistance","2/98","30/6944",0.0664277708356907,0.330390754945935,0.288896399479319,"FOLR1/TYMS",2
"hsa04520","hsa04520","Adherens junction","3/98","68/6944",0.0708145280034028,0.34317809724726,0.300077756991478,"EGFR/TCF7L1/TCF7L2",3
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","3/98","70/6944",0.0758344362820625,0.358317711432745,0.313315960428522,"ATP6V1C2/CXCL1/EGFR",3
"hsa05165","hsa05165","Human papillomavirus infection","8/98","319/6944",0.0804431932773879,0.364535877220152,0.318753175848309,"ATP6V1C2/CDK6/COL9A3/EGFR/FZD9/ITGB8/TCF7L1/TCF7L2",8
"hsa04742","hsa04742","Taste transduction","3/98","72/6944",0.0810079727155894,0.364535877220152,0.318753175848309,"CHRM3/GABBR2/KCNK5",3
"hsa05163","hsa05163","Human cytomegalovirus infection","6/98","216/6944",0.0842066883153682,0.3701177695722,0.323634028531525,"CALML5/CDK6/CDKN2A/E2F3/EGFR/TAP1",6
"hsa05150","hsa05150","Staphylococcus aureus infection","3/98","75/6944",0.089047448762246,0.382499268546921,0.334460513293604,"KRT14/KRT16/KRT23",3
"hsa05216","hsa05216","Thyroid cancer","2/98","37/6944",0.0955296387337742,0.401224482681852,0.350833994881931,"TCF7L1/TCF7L2",2
"hsa05323","hsa05323","Rheumatoid arthritis","3/98","85/6944",0.118090780881885,0.485199077971223,0.424262073191211,"ATP6V1C2/CXCL1/CXCL5",3
"hsa04727","hsa04727","GABAergic synapse","3/98","87/6944",0.124280420997397,0.49976594826613,0.436999464649303,"GABBR2/GABRP/GLS",3
"hsa05222","hsa05222","Small cell lung cancer","3/98","92/6944",0.140253082565374,0.552246512601162,0.482888902692188,"CDK6/E2F3/SKP2",3
"hsa00240","hsa00240","Pyrimidine metabolism","2/98","51/6944",0.161608304322851,0.623346316673854,0.545059157436899,"CTPS1/TYMS",2
"hsa04922","hsa04922","Glucagon signaling pathway","3/98","102/6944",0.174087011015057,0.656390833016903,0.573953554907568,"CALML5/LDHB/PFKP",3
"hsa00603","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series","1/98","14/6944",0.18059430326391,0.656390833016903,0.573953554907568,"ST8SIA1",1
"hsa00604","hsa00604","Glycosphingolipid biosynthesis - ganglio series","1/98","14/6944",0.18059430326391,0.656390833016903,0.573953554907568,"ST8SIA1",1
"hsa04066","hsa04066","HIF-1 signaling pathway","3/98","107/6944",0.191803043300978,0.683976890261977,0.598075030749821,"EGFR/LDHB/PFKP",3
"hsa01200","hsa01200","Carbon metabolism","3/98","113/6944",0.213633904441421,0.710983032933463,0.621689424508793,"PFKP/PHGDH/PSAT1",3
"hsa00120","hsa00120","Primary bile acid biosynthesis","1/98","17/6944",0.214872569758196,0.710983032933463,0.621689424508793,"CYP39A1",1
"hsa00670","hsa00670","One carbon pool by folate","1/98","18/6944",0.225980190396812,0.710983032933463,0.621689424508793,"TYMS",1
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","2/98","66/6944",0.238708883083958,0.710983032933463,0.621689424508793,"LDHB/PFKP",2
"hsa05221","hsa05221","Acute myeloid leukemia","2/98","66/6944",0.238708883083958,0.710983032933463,0.621689424508793,"TCF7L1/TCF7L2",2
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","4/98","180/6944",0.24899656496649,0.710983032933463,0.621689424508793,"CALML5/CDK6/CXCL1/E2F3",4
"hsa01524","hsa01524","Platinum drug resistance","2/98","69/6944",0.254447321435066,0.710983032933463,0.621689424508793,"BIRC5/CDKN2A",2
"hsa04917","hsa04917","Prolactin signaling pathway","2/98","69/6944",0.254447321435066,0.710983032933463,0.621689424508793,"ELF5/SHC4",2
"hsa05203","hsa05203","Viral carcinogenesis","4/98","183/6944",0.258301202934843,0.710983032933463,0.621689424508793,"CDC20/CDK6/CDKN2A/SKP2",4
"hsa05133","hsa05133","Pertussis","2/98","70/6944",0.259700641586625,0.710983032933463,0.621689424508793,"CALML5/CXCL5",2
"hsa04971","hsa04971","Gastric acid secretion","2/98","73/6944",0.275466533383194,0.710983032933463,0.621689424508793,"CALML5/CHRM3",2
"hsa05132","hsa05132","Salmonella infection","2/98","73/6944",0.275466533383194,0.710983032933463,0.621689424508793,"CXCL1/PFN1",2
"hsa04020","hsa04020","Calcium signaling pathway","4/98","189/6944",0.277115814010881,0.710983032933463,0.621689424508793,"CALML5/CHRM3/EGFR/PTGFR",4
"hsa00062","hsa00062","Fatty acid elongation","1/98","23/6944",0.279227517018626,0.710983032933463,0.621689424508793,"HACD1",1
"hsa01040","hsa01040","Biosynthesis of unsaturated fatty acids","1/98","23/6944",0.279227517018626,0.710983032933463,0.621689424508793,"HACD1",1
"hsa04964","hsa04964","Proximal tubule bicarbonate reclamation","1/98","23/6944",0.279227517018626,0.710983032933463,0.621689424508793,"GLS",1
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","3/98","131/6944",0.281744492913181,0.710983032933463,0.621689424508793,"CDC20/SKP2/UBE2E3",3
"hsa05169","hsa05169","Epstein-Barr virus infection","4/98","192/6944",0.286611373021434,0.710983032933463,0.621689424508793,"CDK6/E2F3/SKP2/TAP1",4
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","3/98","133/6944",0.289467117778764,0.710983032933463,0.621689424508793,"DLX5/FZD9/ID4",3
"hsa03018","hsa03018","RNA degradation","2/98","76/6944",0.291219497796692,0.710983032933463,0.621689424508793,"BTG3/PFKP",2
"hsa04510","hsa04510","Focal adhesion","4/98","194/6944",0.292969614681616,0.710983032933463,0.621689424508793,"COL9A3/EGFR/ITGB8/SHC4",4
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","2/98","78/6944",0.301701284645268,0.710983032933463,0.621689424508793,"EGFR/SHC4",2
"hsa04145","hsa04145","Phagosome","3/98","138/6944",0.308840789465933,0.710983032933463,0.621689424508793,"ATP6V1C2/MARCO/TAP1",3
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","4/98","202/6944",0.318581114423799,0.710983032933463,0.621689424508793,"APOBEC3B/CALML5/CCNB2/TAP1",4
"hsa04744","hsa04744","Phototransduction","1/98","27/6944",0.319201050828305,0.710983032933463,0.621689424508793,"CALML5",1
"hsa04966","hsa04966","Collecting duct acid secretion","1/98","27/6944",0.319201050828305,0.710983032933463,0.621689424508793,"ATP6V1C2",1
"hsa04970","hsa04970","Salivary secretion","2/98","83/6944",0.327783244671782,0.710983032933463,0.621689424508793,"CALML5/CHRM3",2
"hsa04392","hsa04392","Hippo signaling pathway - multiple species","1/98","28/6944",0.328846604828425,0.710983032933463,0.621689424508793,"TEAD2",1
"hsa04072","hsa04072","Phospholipase D signaling pathway","3/98","144/6944",0.332154463984814,0.710983032933463,0.621689424508793,"EGFR/PTGFR/SHC4",3
"hsa04012","hsa04012","ErbB signaling pathway","2/98","84/6944",0.332972079499428,0.710983032933463,0.621689424508793,"EGFR/SHC4",2
"hsa04512","hsa04512","ECM-receptor interaction","2/98","85/6944",0.338149942116718,0.710983032933463,0.621689424508793,"COL9A3/ITGB8",2
"hsa00030","hsa00030","Pentose phosphate pathway","1/98","29/6944",0.338356875610208,0.710983032933463,0.621689424508793,"PFKP",1
"hsa00512","hsa00512","Mucin type O-glycan biosynthesis","1/98","29/6944",0.338356875610208,0.710983032933463,0.621689424508793,"GALNT14",1
"hsa04810","hsa04810","Regulation of actin cytoskeleton","4/98","209/6944",0.341151581591347,0.710983032933463,0.621689424508793,"CHRM3/EGFR/ITGB8/PFN1",4
"hsa05034","hsa05034","Alcoholism","3/98","148/6944",0.347695892712333,0.710983032933463,0.621689424508793,"CALML5/H2AFX/SHC4",3
"hsa00052","hsa00052","Galactose metabolism","1/98","30/6944",0.347733741292088,0.710983032933463,0.621689424508793,"PFKP",1
"hsa04215","hsa04215","Apoptosis - multiple species","1/98","30/6944",0.347733741292088,0.710983032933463,0.621689424508793,"BIRC5",1
"hsa04912","hsa04912","GnRH signaling pathway","2/98","87/6944",0.34846989374569,0.710983032933463,0.621689424508793,"CALML5/EGFR",2
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","2/98","87/6944",0.34846989374569,0.710983032933463,0.621689424508793,"BUB1/CCNB2",2
"hsa05160","hsa05160","Hepatitis C","3/98","149/6944",0.35157760054292,0.710983032933463,0.621689424508793,"CDK6/E2F3/EGFR",3
"hsa05032","hsa05032","Morphine addiction","2/98","88/6944",0.353610608972199,0.710983032933463,0.621689424508793,"GABBR2/GABRP",2
"hsa00051","hsa00051","Fructose and mannose metabolism","1/98","32/6944",0.366094641151799,0.728335654502001,0.636862699843019,"PFKP",1
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","2/98","92/6944",0.374030020945025,0.728780143903194,0.637251365039273,"CXCL1/CXCL5",2
"hsa04657","hsa04657","IL-17 signaling pathway","2/98","92/6944",0.374030020945025,0.728780143903194,0.637251365039273,"CXCL1/CXCL5",2
"hsa00640","hsa00640","Propanoate metabolism","1/98","34/6944",0.383943819522306,0.740463080507304,0.647467021106359,"LDHB",1
"hsa03030","hsa03030","DNA replication","1/98","36/6944",0.401295395206297,0.7584482969399,0.66319344260409,"MCM5",1
"hsa05340","hsa05340","Primary immunodeficiency","1/98","36/6944",0.401295395206297,0.7584482969399,0.66319344260409,"TAP1",1
"hsa05033","hsa05033","Nicotine addiction","1/98","38/6944",0.41816310140425,0.782503229360429,0.684227273793302,"GABRP",1
"hsa00620","hsa00620","Pyruvate metabolism","1/98","39/6944",0.426419692203901,0.786366171001643,0.687605061805948,"LDHB",1
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action","2/98","104/6944",0.433610327804898,0.786366171001643,0.687605061805948,"EGFR/SLC34A2",2
"hsa00600","hsa00600","Sphingolipid metabolism","1/98","41/6944",0.442586526001492,0.786366171001643,0.687605061805948,"UGT8",1
"hsa00970","hsa00970","Aminoacyl-tRNA biosynthesis","1/98","41/6944",0.442586526001492,0.786366171001643,0.687605061805948,"VARS",1
"hsa00565","hsa00565","Ether lipid metabolism","1/98","42/6944",0.450499972394633,0.786366171001643,0.687605061805948,"UGT8",1
"hsa04668","hsa04668","TNF signaling pathway","2/98","109/6944",0.457556602578768,0.786366171001643,0.687605061805948,"CXCL1/CXCL5",2
"hsa04725","hsa04725","Cholinergic synapse","2/98","109/6944",0.457556602578768,0.786366171001643,0.687605061805948,"CHRM3/KCNQ4",2
"hsa04724","hsa04724","Glutamatergic synapse","2/98","110/6944",0.462277146749017,0.786366171001643,0.687605061805948,"GLS/HOMER3",2
"hsa04062","hsa04062","Chemokine signaling pathway","3/98","179/6944",0.465563301824773,0.786366171001643,0.687605061805948,"CXCL1/CXCL5/SHC4",3
"hsa00514","hsa00514","Other types of O-glycan biosynthesis","1/98","44/6944",0.465994768000973,0.786366171001643,0.687605061805948,"GALNT14",1
"hsa02010","hsa02010","ABC transporters","1/98","44/6944",0.465994768000973,0.786366171001643,0.687605061805948,"TAP1",1
"hsa00330","hsa00330","Arginine and proline metabolism","1/98","45/6944",0.473579190136612,0.792012764176852,0.692542489422254,"ODC1",1
"hsa00520","hsa00520","Amino sugar and nucleotide sugar metabolism","1/98","46/6944",0.481056975231062,0.792012764176852,0.692542489422254,"CYB5R2",1
"hsa00830","hsa00830","Retinol metabolism","1/98","47/6944",0.488429607360282,0.792012764176852,0.692542489422254,"RDH10",1
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","5/98","326/6944",0.49037996346349,0.792012764176852,0.692542489422254,"CHRM3/GABBR2/GABRP/NMU/PTGFR",5
"hsa04722","hsa04722","Neurotrophin signaling pathway","2/98","117/6944",0.494645106060728,0.792012764176852,0.692542489422254,"CALML5/SHC4",2
"hsa04340","hsa04340","Hedgehog signaling pathway","1/98","48/6944",0.49569855015841,0.792012764176852,0.692542489422254,"GPR161",1
"hsa04919","hsa04919","Thyroid hormone signaling pathway","2/98","118/6944",0.499169644857511,0.792012764176852,0.692542489422254,"PFKP/SLC16A10",2
"hsa05110","hsa05110","Vibrio cholerae infection","1/98","49/6944",0.502865247096414,0.792012764176852,0.692542489422254,"ATP6V1C2",1
"hsa04650","hsa04650","Natural killer cell mediated cytotoxicity","2/98","120/6944",0.508142020172506,0.793709436467798,0.694026073658838,"SHC4/ULBP2",2
"hsa00480","hsa00480","Glutathione metabolism","1/98","51/6944",0.516897578105655,0.800767559524335,0.700197754638377,"ODC1",1
"hsa01212","hsa01212","Fatty acid metabolism","1/98","52/6944",0.52376600075844,0.804811171897115,0.703733522627942,"HACD1",1
"hsa05134","hsa05134","Legionellosis","1/98","53/6944",0.530537755245624,0.808063191641654,0.706577115498411,"CXCL1",1
"hsa04926","hsa04926","Relaxin signaling pathway","2/98","126/6944",0.534433327805327,0.808063191641654,0.706577115498411,"EGFR/SHC4",2
"hsa04978","hsa04978","Mineral absorption","1/98","56/6944",0.55028638417406,0.818936035582944,0.716084419863671,"SLC34A2",1
"hsa04015","hsa04015","Rap1 signaling pathway","3/98","203/6944",0.55029035195256,0.818936035582944,0.716084419863671,"CALML5/EGFR/PFN1",3
"hsa04210","hsa04210","Apoptosis","2/98","131/6944",0.555609392780052,0.819087661594551,0.716217002898048,"BIRC5/LMNB2",2
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","2/98","132/6944",0.559763330461195,0.819087661594551,0.716217002898048,"ASS1/CALML5",2
"hsa04024","hsa04024","cAMP signaling pathway","3/98","208/6944",0.566954940623515,0.819087661594551,0.716217002898048,"CALML5/GABBR2/SOX9",3
"hsa04213","hsa04213","Longevity regulating pathway - multiple species","1/98","59/6944",0.569212380467039,0.819087661594551,0.716217002898048,"CRYAB",1
"hsa04910","hsa04910","Insulin signaling pathway","2/98","135/6944",0.572061223970798,0.819087661594551,0.716217002898048,"CALML5/SHC4",2
"hsa04514","hsa04514","Cell adhesion molecules (CAMs)","2/98","138/6944",0.584112100260886,0.830054037212839,0.725806092132641,"CDH3/ITGB8",2
"hsa04929","hsa04929","GnRH secretion","1/98","63/6944",0.5932258322342,0.832922980417067,0.728314719718627,"GABBR2",1
"hsa04014","hsa04014","Ras signaling pathway","3/98","219/6944",0.602285566543344,0.832922980417067,0.728314719718627,"CALML5/EGFR/SHC4",3
"hsa04612","hsa04612","Antigen processing and presentation","1/98","65/6944",0.60473080283301,0.832922980417067,0.728314719718627,"TAP1",1
"hsa04720","hsa04720","Long-term potentiation","1/98","66/6944",0.610361909290688,0.832922980417067,0.728314719718627,"CALML5",1
"hsa05131","hsa05131","Shigellosis","3/98","223/6944",0.614663947379226,0.832922980417067,0.728314719718627,"EGFR/PFN1/RRAGD",3
"hsa04921","hsa04921","Oxytocin signaling pathway","2/98","146/6944",0.615034057461926,0.832922980417067,0.728314719718627,"CALML5/EGFR",2
"hsa04924","hsa04924","Renin secretion","1/98","68/6944",0.62138698539051,0.832922980417067,0.728314719718627,"CALML5",1
"hsa05031","hsa05031","Amphetamine addiction","1/98","68/6944",0.62138698539051,0.832922980417067,0.728314719718627,"CALML5",1
"hsa05100","hsa05100","Bacterial invasion of epithelial cells","1/98","72/6944",0.642519099469365,0.855183871828943,0.7477798266619,"SHC4",1
"hsa03320","hsa03320","PPAR signaling pathway","1/98","73/6944",0.647617051776117,0.855941418081721,0.748442231349653,"FABP7",1
"hsa05161","hsa05161","Hepatitis B","2/98","158/6944",0.658113640747034,0.863774153480482,0.755291239746231,"BIRC5/E2F3",2
"hsa04721","hsa04721","Synaptic vesicle cycle","1/98","77/6944",0.667299155044686,0.865090338983576,0.756442123199228,"ATP6V1C2",1
"hsa05010","hsa05010","Alzheimer disease","2/98","161/6944",0.668270843870911,0.865090338983576,0.756442123199228,"BACE2/CALML5",2
"hsa05202","hsa05202","Transcriptional misregulation in cancer","2/98","170/6944",0.69730230914258,0.875611223350023,0.765641671211103,"DOT1L/PROM1",2
"hsa04540","hsa04540","Gap junction","1/98","84/6944",0.699159064598508,0.875611223350023,0.765641671211103,"EGFR",1
"hsa04911","hsa04911","Insulin secretion","1/98","85/6944",0.703456792247101,0.875611223350023,0.765641671211103,"CHRM3",1
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","1/98","86/6944",0.707693741417503,0.875611223350023,0.765641671211103,"EGFR",1
"hsa04151","hsa04151","PI3K-Akt signaling pathway","4/98","340/6944",0.71429400747556,0.875611223350023,0.765641671211103,"CDK6/COL9A3/EGFR/ITGB8",4
"hsa05410","hsa05410","Hypertrophic cardiomyopathy (HCM)","1/98","88/6944",0.71598869570585,0.875611223350023,0.765641671211103,"ITGB8",1
"hsa04350","hsa04350","TGF-beta signaling pathway","1/98","89/6944",0.720048367208304,0.875611223350023,0.765641671211103,"ID4",1
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","1/98","92/6944",0.731885916649778,0.875611223350023,0.765641671211103,"CALML5",1
"hsa04972","hsa04972","Pancreatic secretion","1/98","92/6944",0.731885916649778,0.875611223350023,0.765641671211103,"CHRM3",1
"hsa05322","hsa05322","Systemic lupus erythematosus","1/98","92/6944",0.731885916649778,0.875611223350023,0.765641671211103,"H2AFX",1
"hsa05414","hsa05414","Dilated cardiomyopathy (DCM)","1/98","93/6944",0.735720589762493,0.875611223350023,0.765641671211103,"ITGB8",1
"hsa04713","hsa04713","Circadian entrainment","1/98","94/6944",0.739500969590733,0.875611223350023,0.765641671211103,"CALML5",1
"hsa05231","hsa05231","Choline metabolism in cancer","1/98","95/6944",0.743227817033085,0.875611223350023,0.765641671211103,"EGFR",1
"hsa04070","hsa04070","Phosphatidylinositol signaling system","1/98","96/6944",0.746901882433984,0.875611223350023,0.765641671211103,"CALML5",1
"hsa04925","hsa04925","Aldosterone synthesis and secretion","1/98","96/6944",0.746901882433984,0.875611223350023,0.765641671211103,"CALML5",1
"hsa04064","hsa04064","NF-kappa B signaling pathway","1/98","97/6944",0.750523905728591,0.875611223350023,0.765641671211103,"CXCL1",1
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","1/98","100/6944",0.761084969174574,0.881046572026563,0.770394384896521,"CALML5",1
"hsa05146","hsa05146","Amoebiasis","1/98","101/6944",0.764506020171197,0.881046572026563,0.770394384896521,"CXCL1",1
"hsa05205","hsa05205","Proteoglycans in cancer","2/98","196/6944",0.769636789629012,0.881583959029595,0.770864280521562,"EGFR/FZD9",2
"hsa04152","hsa04152","AMPK signaling pathway","1/98","117/6944",0.813088676840443,0.918118381879686,0.802810281008693,"PFKP",1
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action","1/98","117/6944",0.813088676840443,0.918118381879686,0.802810281008693,"SHC4",1
"hsa00190","hsa00190","Oxidative phosphorylation","1/98","120/6944",0.821024036874585,0.918118381879686,0.802810281008693,"ATP6V1C2",1
"hsa04740","hsa04740","Olfactory transduction","1/98","121/6944",0.823594324738929,0.918118381879686,0.802810281008693,"CALML5",1
"hsa04270","hsa04270","Vascular smooth muscle contraction","1/98","124/6944",0.831087993157632,0.918118381879686,0.802810281008693,"CALML5",1
"hsa05012","hsa05012","Parkinson disease","1/98","126/6944",0.835907829261084,0.918118381879686,0.802810281008693,"UCHL1",1
"hsa04728","hsa04728","Dopaminergic synapse","1/98","128/6944",0.840591496951095,0.918118381879686,0.802810281008693,"CALML5",1
"hsa05162","hsa05162","Measles","1/98","130/6944",0.845142804664175,0.918118381879686,0.802810281008693,"CDK6",1
"hsa04371","hsa04371","Apelin signaling pathway","1/98","132/6944",0.84956545539906,0.918118381879686,0.802810281008693,"CALML5",1
"hsa04144","hsa04144","Endocytosis","2/98","235/6944",0.850109612851561,0.918118381879686,0.802810281008693,"EGFR/FOLR1",2
"hsa04140","hsa04140","Autophagy - animal","1/98","136/6944",0.85803908799717,0.920544226775831,0.804931459781707,"RRAGD",1
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","1/98","138/6944",0.862096974282128,0.920544226775831,0.804931459781707,"GABRP",1
"hsa04217","hsa04217","Necroptosis","1/98","142/6944",0.869871436244844,0.923627536237503,0.807627530990187,"H2AFX",1
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes","1/98","147/6944",0.878981939328366,0.928087075603694,0.811526988971205,"CALML5",1
"hsa05164","hsa05164","Influenza A","1/98","157/6944",0.895350980009477,0.928126672474373,0.811561612801318,"CDK6",1
"hsa04630","hsa04630","JAK-STAT signaling pathway","1/98","158/6944",0.896862045864651,0.928126672474373,0.811561612801318,"EGFR",1
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","1/98","160/6944",0.899819685043637,0.928126672474373,0.811561612801318,"CRYAB",1
"hsa04022","hsa04022","cGMP-PKG signaling pathway","1/98","164/6944",0.905485401714152,0.928126672474373,0.811561612801318,"CALML5",1
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","2/98","275/6944",0.905495029884889,0.928126672474373,0.811561612801318,"CXCL1/CXCL5",2
